"NO.","Material No.","Item and Spec","Units","Remark"
"1","1040102356","Screw M8×25","4","GB/T70.3-2000"
"2","00775302800001040","Nylon spacer","2",""
"3","00775602800001200","Adjustable pad","4",""
"4","00775302800001100","Tray pin I","4",""
"5","00775602800001010","Copper washer","4",""
"6","1040300154","Retaining ring 25","4","GB/T894.1-1986"
"7","00775302800800000","Hydraulic Tray (ZS0607HD)","1",""
"","00775302810200000","Hydraulic Tray (ZS0607DC)","1",""
"","00775302880400000","Hydraulic Tray (ZS0607HA)","1",""
"","00775302890800000","Hydraulic Tray 
  (ZS0607AC/ACW)","1",""
"","007753028B1200000","Hydraulic Tray (ZS0607DCS)","1","2022.10 Revise"
"8","00775302830600000","Battery Tray 
(ZS0607HD/DC/HA/AC/ACW)","1",""
"","00775302830400000","Battery Tray 
  (ZS0607HD-Li/DC-Li/HA-Li/ 
ZS0607AC-Li/ACW-Li)","1",""
"","007753028B2000000","Battery Tray (ZS0607DCS)","1","2022.10 Revise"
"9","00775302800200000","Frame (ZS0607HD/HA series)","1",""
"","00775302830200000","Frame (ZS0607DC-Li/AC-Li) 
(Indoor Series)","1",""
"","007753028R0200000","Frame (ZS0607AC-Li) 
(Outdoor Series)","1","2022.10 Revise"
"","00775302811200000","Frame (ZS0607DC/AC) 
(Indoor Series)","1",""
"","007753028Q0200000","Frame (ZS0607AC) 
(Outdoor Series)","1","2022.10 Revise"
"","007753028B2400000","Frame (ZS0607DCS)","1","2022.10 Revise"
"","00775302890600000","Frame (ZS0607ACW)","1",""
"","007753028D0200000","Frame (ZS0607ACW-Li)","1",""
"10","1040300106","Washer","4","GB/T97.1-2002"
