"Item","Part Number","Description","Qty.","Remark"
"1","00000683","Bolt  GB/T 5783  M10 × 30","8",""
"2","00000679","Spring Washer  GB/T 93  10","8",""
"3","00000615","Flat Washer  GB/T 97.1  10","24",""
"4","00002411","Bolt  GB/T 5783  M10 × 45","8",""
"5","92029130","Support","2",""
"6","92047837","Rotary Coupling Assembly","1",""
"--","00009008","Slip Ring","1",""
"7","00002452","Bolt  GB/T 5783  M12 × 45","6",""
"8","00000814","Flat Washer  GB/T 97.1  12","6",""
"9","92049365","Plate","2",""
"10","00001249","Nut  GB/T 6182  M12","6",""
"11","92049352","Chassis Manifold (Refer to 1-19)","1",""
"12","00002497","Screw  GB/T 70  M8 × 100","3",""
"13","00000623","Nut  GB/T 6182  M10","8",""
"14","92100615","Cartridge, Pressure Reducing Valve","1",""
