"No.","Material No.","Item and Spec","Qty","Note"
"1","1020201651","Display","1",""
"2","1020520084","Toggle switch","1","Platform rotation"
"3","1020520084","Toggle switch","1","Platform leveling"
"4","1020520084","Toggle switch","1","Jib lifting"
"5","1020520084","Toggle switch","1","Boom extension"
"6","1020520084","Toggle switch","1","Boom lifting"
"7","1020519658","Emergency stop button","1","Emergency stop switch"
"","1020509007","Button seat","1",""
"8","1020520084","Toggle switch","1","Tower boom lifting"
"9","1020520943","Key switch","1",""
"10","1020520084","Toggle switch","1","Turntable rotation"
"11","1020520084","Toggle switch","1","Emergency power and 
enable"
"12","1020304559","Relay","1","Light relay"
"13","1020604934","Terminal","11",""
"14","1020704265","Earth terminal row","3",""
"15","1020705826","Diode terminal","2",""
"16","1029904980","Terminal","9",""
"17","1029903317","48 core sheath","1","Turntable cables"
"18","1029902634","32 core sheath","1","Turntable cables"
"19","1020304584","Power relay","1",""
"20","1020103903","Controller","1",""
"21","1020103955","Connector assembly","1",""
