"NO.","Material No.","Item and Spec","Units","Remark"
"1","1990201051","Clamp φ60-φ80","5",""
"2","00775600300001100","Nylon cover II","10",""
"3","00775500300001010","End pipe trunking III","1",""
"4","1089900652","Sealing strip 16×3","6",""
"5","1040000126","Bolt M12×100-8.8","2","GB/T5782-2000"
"6","00775700302400000","Safety arm","1",""
"7","1040300526","Washer 12","4","GB/T97.1-2002"
"8","1040200507","Nut M12-8","2","GB/T889.1-2000"
"9","1054400310","Composite bush 38×44×30","4",""
"10","1010201627","Lift cylinder","1",""
"11","1040300051","Washer 6","4","GB/T97.1-2002"
"12","1040300062","Washer 6","4","GB/T93-1987"
"13","1040100620","Screw M6×16-8.8","4","GB/T818-2000"
"14","00775600000001030","Limit block","2",""
"15","1040102034","Screw M8×60-10.9","4","GB/T70.1-2000"
"16","1040300063","Washer 8","4","GB/T93-1987"
"17","1010307396","Cylinder control valve","1",""
"18","1021403993","Pressure sensor","1",""
"19","00775600300001110","Plastic pad","24",""
"20","00775600300001070","End pipe trunking I","2",""
