"NO.","Material No.","Item and Spec","Units","Remark"
"1","00775700000001040","Lower sliding block I","1",""
"2","1040000025","Bolt M10×80-8.8","2","GB/T5783-2000"
"3","1040200504","Nut M10-8","2","GB/T889.1-2000"
"4","00775600000001040","Lower sliding axle","1",""
"5","00775700000001050","Lower sliding block II","1",""
"6","00775600000001070","Upper stationary axle","4",""
"7","1040000807","Bolt M12×110-8.8","4","GB/T5782-2000"
"8","1040300526","Washer 12","8","GB/T97.1-2002"
"9","00775700000001060","Upper sliding block","2",""
"10","1040200507","Nut M12-8","4","GB/T889.1-2000"
"11","1040000288","Bolt M8×25-8.8","1","GB/T5783-2000"
"12","1040300063","Washer 8","1","GB/T93-1987"
"13","1040300066","Washer 8","1","GB/T97.1-2002"
"14","00775600000001050","Articulated pin","1",""
"15","00775600000001080","Lower stationary axle","1",""
"16","00775700000001070","Upper sliding block","2",""
"17","00775600100000000","Work platform","1",""
"18","00775400330000000","Scissor arm","1",""
"19","00775402850000000","Chassis(ZS0812DC)","1",""
"","00775402880000000","Chassis(ZS0812DC-Li)","1",""
"","007754028B0000000","Chassis(ZS0812HA-Li)","1",""
"","007754028C0000000","Chassis(ZS0812HA)","1",""
"","007754028J0000000","Chassis(ZS0812AC)","1",""
"","007754028K0000000","Chassis(ZS0812AC-Li)","1",""
"","007754028X0000000","Chassis(ZS0812HD-Li)","1","2022.10 Revise"
"","007754028W0000000","Chassis(ZS0812HD)","1","2022.10 Revise"
