"No.","Material No.","Item and Spec","Units","Remark"
"1","","Circlip for hole","1","G0206030013"
"2","","Oil seal","1","G0105010031"
"3","","Front cover","1","E01P010000159"
"4","","Outer seal","2","PR10802053"
"5","","E Check ring","2","PR10803025"
"6","","E Seal ring","2","PR10800077"
"7","","Shaft sleeve assembly","2","E01P050000030"
"8","","Locating pin","2","G0207990002"
"9","","Pump body","1","E01P021204015"
"10","","Driving gear","1","E01P061204078"
"11","","Slave gear","1","E01P111204001"
"12","","Rear cover","1","E01P030000121"
"13","","Bolt","4","G0201070005"
"14","","Gasket","4","G0205050001"
"15","1010002071","Gear pump","1","2ABPF04LJ36SB09L-TLT"
"16","1140112823","Male stud connector","1","GE10L7/8UNFOMDCF"
"17","1140108135","Joint","1","GE15L7/8UNFOMD"
"18","1140101478","Tube to swivel","1","EW15LOMDCF"
"19","1040004607","Bolt","2","3/8-24UNF-1-10.9"
"20","1040300067","Gasket","2","GB/T93-1987"
