"Item","Part Number","Description","Qty.","Remark"
"1","92101211","Panel","1",""
"2","00001018","Screw  GB/T 973  M6×14","4",""
"3","00003162","Indicator, Red","1",""
"4","00006135","Switch, Toggle","6",""
"5","00006138","Push Button, Green","1",""
"6","00006154","Push Button, Red","1",""
"7","00006137","Push Button, Red","1",""
"8","00000752","Base With 1 NC Contact","1",""
"9","00000754","Red Mushroom Head","1",""
"10","00002346","Base With 1 NO Contact","1",""
"11","00002566","Select Switch Head","1",""
"12","00002391","Screw  GB/T 818  M5 × 8-H","4",""
"13","85000094","Display","1",""
"14","00006133","Key Switch","1",""
