"Item","Part No.","Description","Qty."
"1","10025165","Outrigger cylinder","1"
"2","10000001","Pin","1"
"3","00001111","Plug  VSTI1/4ED","2"
"4","00001294","Straight fitting","2"
"5","00000683","Bolt  GB/T 5783  M10×30","4"
"6","00000679","Washer  GB/T 93  10","4"
"7","00000615","Washer  GB/T 97.1  10","4"
"8","10004004","Retainer","1"
"9","10003999","Outrigger footpad","1"
"10","00010806","Seal kit","1"
"11","00003017","Nut","1"
"12","00008559","Coil","1"
"13","00003280","Solenoid valve spool (SV4, SV5, SV6, SV7)","1"
"14","00009755","Counterbalance valve spool (CB4)","1"
"15","00003281","Pilot-operated check valve (PC1, PC2, PC3, PC4)","1"
