"Item","Part Number","Description","Qty.","Remark"
"1","00000818","Bolt  GB/T 5783  M6 × 16","6",""
"2","00000621","Spring Washer  GB/T 93  6","6",""
"3","00000620","Flat Washer  GB/T 97.1  6","6",""
"4","50001008","Dust Cap","1",""
"5","50003044","Plate, Seal","1",""
"6","00002034","Nut  GB/T 6179  M36","1",""
"7","50000987","Ring, Check","1",""
"8","50002142","Housing","1",""
"9","00001139","Bushing 33109","1",""
"10","00001141","Bushing 33112","1",""
"11","50000038","Seal, Lip","1",""
"12","00002038","Pin, Cotter  GB/T 91  6,3 × 63","1",""
"13","00000419","8813-405040 Sleeve Bearing","2",""
"14","00000364","8812-242820 Sleeve Bearing","1",""
"15","50000923","Spindle Weldment (Left Side)","1",""
