"Item","Part No.","Description","Qty."
"1","00003148","AC plug (China 220V)","1"
"","00003149","AC plug (USA 110V)","1"
"","00003151","AC plug (European 220V)","1"
"","00003150","AC plug (UK 220V)","1"
"","00002615","AC plug (UK 110V)","1"
"2","00002634","Circuit breaker (Option)","1"
"3","00003147","AC plug (Australia 220V)","1"
"4","00003152","Wire cable, platform AC power (JCPT0808HD/DC)","1"
"","00003153","Wire cable, platform AC power (JCPT1008HD/DC)","1"
"","00003154","Wire cable, platform AC power (JCPT1012HD/DC)","1"
"","00003155","Wire cable, platform AC power (JCPT1212HD/DC)","1"
"","00003156","Wire cable, platform AC power (JCPT1412HD/DC)","1"
"","00003157","Wire cable, platform AC power (JCPT1612HD/DC, 
JCPT1614HD/DC)","1"
"5","00002617","AC socket (Australia)","1"
"","00002709","AC socket (European)","1"
"","00000668","AC socket (China/UK/USA)","1"
