"№ 
п/п","Код материалов","Наименование и 
спецификация","Версия","Кол-
во","Примечание"
"25","1040102372","Винт с цилиндрической головкой 
и внутренней шестигранью","А","4","GB/T70.1-2000"
"26","1020605394","Предохранитель","А","1","297010"
"27","1029904933","Упорная планка","А","2","2004--1392"
"28","1020520942","Торцевая пластина","А","1","2002--1691"
"29","1040300051","Шайба","А","4","GB/T97.1-2002"
"30","1020605395","Предохранитель","А","4","297005"
"31","1029905392","Соединительный зажим","А","5","2002--1681"
"32","1029805618","Розетка","А","1","T417111005-002"
"33","1020809446","Направляющая","А","1","SU 35/7.5-1(4.8-
25)"
"34","1020704265","3-проводная клеммная колодка 
заземления","А","5","2004--1307"
"35","1040300062","Шайба","B","4","JB/T93-1987"
"36","1020404405","Проблесковый зуммер","B","1","AD17- 
22SML/DC12VR"
"37","1020700974","Упорная планка","А","2","249--116"
"38","1029904920","ZDU2.5 Закорачивающая плита","А","4","2002--402"
"39","1029904980","Соединительный зажим","А","10","2004--1301"
"40","1029907643","Розетка","А","1","192900--0437"
"41","1022396084","Наконечник закрепления кабеля","А","1","HSK-M20B"
"42","1020103903","Контроллер","B","1","RC28-14/30"
"43","1029906990","Штепсель ITT","А","1","192900--0074"
