"No.","Material No.","Item and Spec","Rev.","Qty","Remark"
"1","02151601200200000","焊合件总成","A","1",""
"2","1139901356","steering gear assembly","A","1","HWE-F2020-Q1"
"3","1040000574","bolt M10×30-10.9","B","4","GB/T5783-2016"
"4","1040301502","washer 10","A","4","GB/T93-1987"
"5","1040303581","washer 10-300HV","A","4","GB/T96.1-2002"
"6","1139901355","座椅","B","1","1498059"
"7","1040303580","washer 8-300HV","A","4","GB/T96.1-2002"
"8","1040301510","washer 8","A","4","GB/T93-1987"
"9","1040004519","bolt M8×25-8.8","A","4","GB/T5783-2000"
"10","1040000309","bolt M22×130-10.9","A","4","GB/T1228-1991"
"11","1040301521","washer 24","A","4","GB/T1230-1991"
"12","1139901357","cab shock absorber EH9075-50","A","4","10-05365-1"
"13","02151601200001010","base plate Tp8","C","4",""
"14","1040201235","nut M22-10","A","4","GB/T6170-2000"
