"No.","Material No.","Item and Spec","Rev.","Qty","Remark"
"13","02151601100410001","splash guard bracket","B","4",""
"14","1040302490","washer 12-200HV","B","16","GB/T97.1-2002"
"15","1040000409","bolt M12×1.25×45-10.9","A","16","GB/T5786-2000"
"16","1040201865","nut M6-8","A","44","GB/T6170-2000"
"17","1040301610","washer 6","A","44","GB/T93-1987"
"18","1040303579","washer 6-300HV","A","88","GB/T96.1-2002"
"19","02151601100401020","plate Tp2","B","16",""
"20","02151601100401030","rubber pad Tp2","A","16",""
"21","02151601100401011","splash guard metal plate Tp2","A","4",""
"22","1040002555","bolt M6×16-A2-70","A","32","GB/T5783-2000"
"23","1040001640","bolt M6×25-A2-70","A","12","GB/T5783-2000"
