"No.","Material No.","Item and Spec","Rev.","Qty","Remark"
"116","1009901069","elastic coupler assembly","A","1","805624-0"
"117","02151607100201090","coupler Tp17","A","1",""
"118","1040004653","bolt M12×30-10.9","A","4","GB/T5783-2000"
"119","1040302490","washer 12-200HV","B","4","GB/T97.1-2002"
"120","1140103280","male stud connector","A","1","GE22L11/16UNOM
DA3C"
"121","1140108904","connector M30-M30","A","1","EW22LOMDCF"
"122","1140101477","right-angle combination coupling
M18×1.5","A","1","EW12LOMDCF"
"123","1081004940","O-ring 32.5×3.55","B","2","GB/T3452.1-1992"
"124","1140111291","T-junction","A","2","EL12LOMDCF"
"125","1140103405","male stud connector","A","1","GE12L9/16UNFOM
DCF"
"126","1010003281","traveling pump 78ml/r","A","1","H1-P-078-R-A-A-
N1-C2 -C-F6-H-G9-
H6-L-45-L -45-C-L-"
"127","1040301503","washer 12","A","12","GB/T93-1987"
"128","1140109861","right-angle combination coupling 10S","A","2","EW10SOMDCF"
"129","1140103416","male stud connector","A","2","GE10S9/16UNFOM
DCF"
"130","1140103554","pressure gage connecting test point","A","2","VKA3/10SA3C"
"131","1140101921","flange haff 1""","A","4","FHS64CFX"
"132","1140112826","male stud connector","A","1","GE28L15/16UNFO
MDCF"
"133","1040100854","螺钉M12×40-10.9","B","8","GB/T70.1-2008"
"134","1140101737","right-angle combination coupling
M36×2","A","1","EW28LOMDCF"
