"No.","Material No.","Item and Spec","Rev.","Qty","Remark"
"15","02151603800001041","指示装置安装板 Tp4","A","1",""
"16","1040301021","washer 14-300HV","A","2","GB/T97.1-2002"
"17","1040004038","bolt M14×30-10.9","A","2","GB/T5783-2000"
"18","1040201646","nut M10-10","A","2","GB/T6170-2000"
"19","1040004518","bolt M8×20-8.8","A","4","GB/T5783-2000"
"20","1040301515","washer 8-200HV","A","4","GB/T97.1-2002"
"21","02151603800001081","指示装置固定板 Tp4","A","1",""
"22","1040201089","nut M8-8","A","2","GB/T6170-2000"
"23","02151603800001051","指示装置指示板 Tp4","B","1",""
"24","02151603800001061","指示杆 φ10","B","1",""
"25","02151603800001070","指示装置弹簧 φ1.5","A","1",""
"26","1040303581","washer 10-300HV","A","1","GB/T96.1-2002"
