"NO.","Material No.","Item and Spec","Units","Remark"
"1","1020104670","Platform control assembly","1",""
"2","00775606300410000","Platform control box","1",""
"3","1040300051","Washer 6","13","GB/T97.1-2002"
"4","1040300062","Washer 6","13","GB/T93-1987"
"5","1040100055","Screw M6×20-8.8","6","GB/T70.1-2000"
"6","1040000096","Bolt M6×12-8.8","3","GB/T5783-2000"
"7","1021404506","Inclination switch","1",""
"8","1040100618","Screw M4×16-8.8","10","GB/T818-2000"
"9","1040300044","Washer 4","8","GB/T93-1987"
"10","1040301697","Washer 4","8","GB/T97.1-2002"
"11","1029906635","LED Strobe light","2",""
"12","1029906206","Shield","2",""
"13","00775706320601010","Installation bracket","1",""
"14","1021404319","Angle sensor","1",""
"15","00775706320601020","Screw","1",""
"16","1040300067","Washer10","1","GB/T93-1987"
"17","1040301515","Washer10","4","GB/T97.1-2002"
"18","1040100127","Screw M6×12-8.8","4","GB/T70.1-2000"
"19","1040100127","Limit guard","1",""
"20","00772402800001130","Screw M4×35","4","GB/T70.1-2000"
"21","1040102716","Limit switch","2",""
"22","1020520944","Limit bracket","1",""
"23","00772402800001120","Locknut M4-8","4","GB/T889.1-2000"
"24","1040201605","Limit block","2",""
