"No.","Material No.","Item and Spec","Qty","Remark"
"1","00772106200230510","Battery positive to start motor wiring","1",""
"2","00772106200230570","Battery positive, preheating insurance 
and generator wiring","1",""
"3","1020605356","Ring insurance","1",""
"","0067220632181001A-c","Ring insurance bracket","1",""
"","1020402443","Insulation nut","1",""
"4","1020305006","DC contactor","0",""
"5","00772106200230580","Relay and preheating device wiring","1",""
"6","1029905348","Battery","0",""
"7","00772106200230520","Battery negative and manual switch 
wiring","1",""
"8","1029900667","Manual switch","1",""
"9","00772106200230530","Manual switch to earth wire","1",""
"10","00772106200230560","Engine and negative bonding wiring","1",""
"11","1020605356","Ring insurance","1",""
"","0067220632181001A-c","Ring insurance bracket","1",""
"","1020402443","Insulation nut","1",""
"12","00772106200230540","Auxiliary power pump and 
insurance wiring","1",""
