"NO.","Material No.","Item and Spec","Units","Remark"
"19","1040300044","Washer 4","5","GB/T93-1987"
"20","1040301697","Washer 4","4","GB/T97.1-2002"
"21","1040100106","Screw M4×10-4.8","3","GB/T818-2000"
"22","00775602800601040","Waterproof coverplate","1",""
"23","00775402800810000","Hydraulic  Tray box","1",""
"24","1040300048","Washer 5","1","GB/T97.1-2002"
"25","1040100378","Screw M5×20-8.8","1","GB/T70.1-2000"
"26","1040200867","Nut M5","1","GB/T889.1-2000"
"27","00775602800601020","Motor support","1",""
"28","1040200503","Nut M8-8","6","GB/T889.1-2000"
"29","1010305936","Control valve  (ZS0608HD/ 
ZS0808HD  series)","1",""
"","1010306182","Control valve  (ZS0608HD-Li/ 
ZS0808HD-Li  series)","1",""
"30","1040301697","Washer 4","2","GB/T97.1-2002"
"31","1040300044","Washer 4","2","GB/T93-1987"
"32","1029804041","Screw M4×25-4.8","2","GB/T70.1-2000"
"33","1020201962","Ground control assembly","1",""
"34","1020502039","Emergency stop button","1",""
"35","1020304979","Breaker","1",""
"36","1020520943","Key  switch","1",""
