"№ п/п","Код материалов","","Наименование и спецификация  Версия  Кол-","во","Примечание"
"1","1040100466","Винт","А","1",""
"2","02554000302210004","Гайка","А","1",""
"3","1081401993","Направляющее кольцо","А","2",""
"4","1081401992","Направляющее кольцо","А","2",""
"5","1081000454","О-образное кольцо","А","1",""
"6","1081007847","Стопорное кольцо","А","2",""
"7","1081012342","Уплотнительное кольцо STd","А","1",""
"8","1081012344","Уплотнительное кольцо GSF","А","1",""
"9","02554000302210001","Поршень","А","1",""
"10","02554000302210005","Прокладочное кольцо","А","1",""
"11","02554000302210006","Прокладочное кольцо","А","1",""
"12","02554600312212000","Поршневой шток","А","1",""
"13","02554600312211000","Корпус цилиндра","А","1",""
"14","02554000302210008","Направляющая втулка","А","1",""
"15","1040301473","Стопорное кольцо","А","2",""
"16","1054400323","Комбинированная втулка","А","1",""
"17","1081002802","О-образное кольцо","А","1",""
"18","1040301112","Стопорное кольцо","А","1",""
"19","1081012343","Уплотнительное кольцо STd","А","1",""
"20","1081006583","U-образное кольцо","А","1",""
"21","02554000302210003","Нажимная крышка","А","1",""
"22","1040100870","Винт","А","16",""
"23","1040300065","Шайба","А","16",""
"24","1081201919","Пылезащитное кольцо","А","1",""
"25","1054400421","Комбинированная втулка","А","1",""
