"NO.","Material No.","Item and Spec","Units","Remark"
"1","00775200100200000","Lower components","1",""
"2","1040100620","Screw M6×16","2","GB/T818-2000"
"3","00775600100001030","Line  card","2",""
"4","1040200506","Nut M6-8","14","GB/T889.1-2000"
"5","1040000469","Bolt  M8×60","6","GB/T5783-2000"
"6","1040300066","Washer 8","10","GB/T97.1-2002"
"7","1040200503","Nut M8-8","4","GB/T889.1-2000"
"8","00775200102400000","Guard rails IV","2",""
"9","1040200867","Nut M5","6","GB/T889.1-2000"
"10","00775606300801010","Power mounting plate","1",""
"11","1040102341","Screw M5×12-8.8","6","GB/T70.1-2000"
"12","00775606600400000","Platform AC  assembly","1",""
"13","1100400025","D pin 6.3×55","2",""
"14","00775200100800000","Guard rails III","1",""
"15","00775200101000000","Platform gate","1",""
"16","1101000163","Spring hinge","2",""
"17","1040300051","Washer 6","24","GB/T97.1-2002"
"18","1040002803","Bolt  M6×55-8.8","12","GB/T5783-2000"
"19","00775600102200000","Mounting  pulley  assembly","2",""
"20","00775600100001020","Gasket I","2",""
"21","00775600102400000","Platform pin mounting base","2",""
"22","1040102718","Screw M8×50","8","GB/T70.1-2000"
