"No.","Material No.","Item and Spec","Rev.","Qty","Remark"
"8","00773407000201421","Binding point","A","8",""
"9","00773407000201241","No hoisting","A","8",""
"23","00773407000201181","No stepping","A","4",""
"27","00773407000201191","Smashing hazard","A","5",""
"28","00773407000201431","Lifting point","A","6",""
"33","00773407000201010","Zoomlion LOGO I","A","1",""
"34","00774107000201051","Model LOGO I","A","1",""
"35","00771407000201130","Zoomlion LOGO II","A","1",""
"38","00773407000201381","Explosion hazard II","A","1",""
"39","00774107000201041","Model LOGO II","A","1",""
"40","00773707000201040","Zoomlion LOGO-ZOOMLION","A","1",""
"41","00773407000201211","Extrusion hazard","A","2",""
