"No.","Material No.","Item and Spec","Rev.","Qty","Remark"
"1","1040002555","Bolt","A","20","GB/T5783-2000"
"2","1040300771","Washer","A","20","GB/T97.1-2002"
"3","1040006459","Bolt","A","16","GB/T5782-2000"
"4","1040002434","Bolt","A","48","GB/T5783-2016"
"5","1040302489","Washer","B","52","GB/T97.1-2002"
"6","00771602800001470","Lubrication-free bearing IV","A","8",""
"7","1040101980","Screw","A","72","GB/T70.1-2000"
"8","1040103120","Screw","A","4","GB/T70.1-2000"
"9","1040005831","Bolt","A","24","GB/T5789-1986"
"10","00771602800001200","Cover plate","A","4",""
"11","1040100857","Screw","A","20","GB/T70.1-2008"
"13","00773400200001070","Stop pin","F","4",""
"14","1040201907","Hexagon nut with flange","A","40","GB/T6177.2-2016"
"15","02562302800001450","Steering cylinder bush","A","4",""
"16","00772702800001160","Seal plate II","A","4",""
"17","02562302801000000","Steering cylinder","A","4",""
"18","00772702800001260","Adjustable spacer","A","6",""
"19","02562302800001250","Nylon block","A","2",""
"20","00771602800001020","Wear-resistant plate","B","8",""
"21","02562302800001170","Pin IV","A","4",""
"22","00773400300001070","Bearing","A","8",""
"23","00771602800001080","Steering cylinder pin","C","4",""
"24","00771602800001330","Lubrication-free bearing I","A","4",""
"25","00772102800600000","Protective hood","A","4",""
"26","00771602800001180","Sensor mounting seat","B","4",""
"27","00771602800001190","Clapboard","A","4",""
"28","00771602800001160","Axle end plate","A","4",""
"29","02562302800001050","Pin II","A","4",""
"30","00771202800001290","Cover plate","B","4",""
"31","02562302800001060","Pin II","A","4",""
"32","1030801385","Tire","A","2",""
"33","1030202306","Traveling reducer","A","4",""
"34","02562302800400000","Outrigger I","A","2",""
"35","02562302802000000","Steering frame weld","A","2",""
"50","00773400400001250","Stop pin","E","12",""
