"NO.","Material No.","Item and Spec","Units","Remark"
"1","1030800538","Tire","2",""
"2","1040500535","Split pin 4×80","2","GB/T91-2000"
"3","1040000225","Bolt M12×90-8.8","8","GB/T5783-2000"
"4","1040300526","Washer 12","14","GB/T97.1-2002"
"5","1040200507","Nut M12-8","14","GB/T889.1-2000"
"6","1019901335","Brake","2",""
"7","1040004201","Bolt M12×40-8.8","6","GB/T801-1998"
"8","00775402801800000","Ladder","1",""
"9","00775602801601010","Coil III","1",""
"10","1010305937","Manuel pump","1",""
"11","1040300067","Washer 10","2","GB/T93-1987"
"12","1040300061","Washer 10","2","GB/T97.1-2002"
"13","1040000970","Bolt 3/8-16UNC-30-8.8","2",""
"14","1100700162","T handle (Red)","1",""
"15","1040100055","Screw M6×20-8.8","2","GB/T70.1-2000"
"16","1040300051","Washer 6","2","GB/T97.1-2002"
"17","00775605200401030","Lower stay wire bracket","1",""
"18","1040200506","Nut M6-8","2","GB/T889.1-2000"
"19","00775602800001180","Coil II","2",""
"20","00775602801601040","Protecting bush II","1",""
"21","00775302802400000","Box holder","1",""
"22","1020605443","Residual current circuit breaker","1",""
