"Item","Part No.","Description","Qty."
"1","10003952","Air cleaner","1"
"--","10001393","Filter element (inner)","1"
"--","10004082","Filter element (outer)","1"
"2","00000993","Bolt  GB/T 5783  M8×25","2"
"3","00000609","Washer  GB/T 93  8","10"
"4","00002000","Washer  GB/T 96.1  8","2"
"5","00000814","Washer  GB/T 97.1  12","2"
"6","00000815","Washer  GB/T 93  12","2"
"7","00000816","Bolt  GB/T 5783  M12×25","2"
"8","50001565","Air cleaner bracket","1"
"9","00000995","Bolt  GB/T 5783  M8×30","8"
"10","00000608","Washer  GB/T 97.1  8","16"
"11","00000610","Nut  GB/T 6170  M8","6"
"12","10003707","Exhaust pipe bracket","1"
"13","10021944","Muffler weldment","1"
"14","10003970","Clamp","1"
"15","00002259","Hose","1"
"16","50001583","Clamp","3"
"17","10002733","Air cleaner cap","1"
