"Item","Part Number","Description","Qty.","Remark"
"1","50008431","Platform","1",""
"2","","Gate Assembly (Refer to 4-3)","1",""
"3","00002527","Bolt  GB/T 5782  M12 × 80","4",""
"4","00000815","Spring Washer  GB/T 93  12","4",""
"5","00000814","Flat Washer  GB/T 97.1  12","8",""
"6","00000619","Bolt  GB/T 5783  M6 × 25","22",""
"7","00000621","Spring Washer  GB/T 93  6","22",""
"8","00000620","Flat Washer  GB/T 97.1  6","22",""
"9","50008447","Deck Plate","1",""
"10","00001033","Nut  GB/T 6182  M6","22",""
"11","00002583","Flat Washer  GB/T 96.1  6","22",""
"12","00001249","Nut  GB/T 6182  M12","4",""
