"№ п/п","Код мат-ла","Наименование и 
спецификация","Кол-во 
штук","Примечание"
"1","00773706200450060","Провод от ручного 
переключателя к 
предохранителю группового 
пункта","1",""
"2","1020202049","Блок передней оси привода","1",""
"3","00773706200450110","Провод от отрицательного 
полюса аварийного 
аккумулятора к реле аварийного 
насоса","1",""
"4","00773706200450120","Провод от отрицательного 
полюса группового пункта 
задней оси к отрицательному 
полюсу группового пункта 
передней оси","1",""
"5","1020999028","Аккумулятор","1",""
"6","00773706200450040","Последовательное соединение 
положительного и 
отрицательного полюсов 
аккумулятора 4","1",""
"7","1020903393","Автомобильное зарядное 
устройство","1",""
"8","1020202050","Блок задней оси привода","1",""
"9","00773706200450080","Провод от привода №5 к 
двигателю функционального 
насоса","3",""
"10","00773706200450050","Провод от положительного 
полюса аккумулятора к 
ручному переключателю","1",""
"11","1029900667","Главный выключатель питания","1",""
"12","1020005381","Электродвигатель","1",""
"13","1020999027","Аккумулятор","1",""
