"№ п/п","Код мат-ла","Наименование и 
спецификация","Кол-во 
штук","Примечание"
"1","00773700800001190","Ограничивающая 
опора 
поворота","1",""
"2","1040300735","Шайба 6-200HV","4","GB/T96.1"
"3","1040002738","Болт M6×12-A2-70","2","GB/T5783"
"4","00773400800001180","Ограничительный 
штифт 
поворота","1",""
"5","1040100714","Винт M12×130-8.8","1","GB/T70.1"
"6","00773700800200000","Сварка поворотной платформы","1",""
"7","00773700800001290","Монтажная панель Ⅰ","1",""
"8","1040302480","Шайба 8-200HV","4","GB/T96.1"
"9","1040004518","Болт M8×20-8.8","4","GB/T5783"
"10","00773700810801010","Чехол рычага","1",""
"11","00773700810801020","Стержень","1",""
"12","1040101846","Винт M4×10-8.8","2","GB/T70.1"
"13","00773700810001050","Скоба","2",""
"14","00773700810400000","Узел прерывного поворота","1","Стандартная 
конфигурация"
"15","00773700800001040","Штифт II","2",""
"16","1040004570","Болт M16×30-8.8","4","GB/T5783"
"17","00773400400001250","Стопорный штифт","4",""
"18","1040002434","Болт M10×25-8.8","12","GB/T5783"
"19","1040302512","Шайба 10-200HV","14","GB/T96.1"
"20","00773700800001250","Монтажная 
панель 
покрывающих деталей Ⅰ","1",""
"21","1040002555","Болт M6×16-A2-70","2","GB/T5783"
"22","00773700800001030","Штифт I","2",""
"23","1040200161","Гайка M16-8","2","GB/T889"
"24","1040302513","Шайба 16-200HV","4","GB/T96.1"
"25","00773700810001070","Прессовая колодка I","1",""
"26","1040002279","Болт M16×150-12.9","2","GB/T5782"
"27","1040002433","Болт M10×20-8.8","2","GB5783"
"28","00773700800001260","Монтажная 
панель 
покрывающих деталей II","1",""
